0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.238252307076420644e-01,7.649776961142065179e-01
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,8.370513039694715829e-01,1.408393883877300246e-01
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,8.794667279451334752e-01,1.465925827446975527e-01
0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,7.744916421070833223e-01,1.845552691622553976e-01
0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,7.616270922446898295e-01,3.817037044733639917e-01
0.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,2.042487967733034315e-01,5.430760675502731560e-01
0.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00,4.524952457098435632e-01,9.138482967928018841e-02
0.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00,8.758103164370245608e-02,7.629185868006289617e-01
0.000000000000000000e+00,8.000000000000000000e+00,2.000000000000000000e+00,7.572620079221257239e-01,6.192100217887009928e-01
0.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00,1.756883991203735951e-01,5.259887807953573802e-01
2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.726722426010733891e-01,7.301356320381076070e-01
2.000000000000000111e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.459925687076381706e-01,1.453175336379445848e-01
2.000000000000000111e-01,2.000000000000000000e+00,0.000000000000000000e+00,8.851150812108019572e-01,1.548446191834326746e-01
2.000000000000000111e-01,3.000000000000000000e+00,0.000000000000000000e+00,8.224508101327184795e-01,2.206096475688912595e-01
2.000000000000000111e-01,4.000000000000000000e+00,0.000000000000000000e+00,8.065176357572801935e-01,3.418936667549162811e-01
2.000000000000000111e-01,5.000000000000000000e+00,1.000000000000000000e+00,2.578066595900184721e-01,5.160287880104389435e-01
2.000000000000000111e-01,6.000000000000000000e+00,1.000000000000000000e+00,5.029087903709554830e-01,1.239190349823466736e-01
2.000000000000000111e-01,7.000000000000000000e+00,1.000000000000000000e+00,1.371229000722094526e-01,7.290718251739607414e-01
2.000000000000000111e-01,8.000000000000000000e+00,2.000000000000000000e+00,8.138951777737636339e-01,6.390262795725394351e-01
2.000000000000000111e-01,9.000000000000000000e+00,2.000000000000000000e+00,2.300459417177971866e-01,5.005868603410043027e-01
